,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AVERAGE GROSS WEEKLY EARNINGS 1997 - 2025,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median and percentile gross weekly earnings for Adult Full-Time Employees in United Kingdom whose pay for the survey period was not affected by absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adult Male,,,,,,,,,,Adult Female,,,,,,,,,,Male & Female Adult,,,,,,,,
 ,,10%,,25%,,50%,,75%,,90%,,10%,,25%,,50%,,75%,,90%,,10%,,25%,,50%,,75%,,90%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£,,£
,, , ,,,,, , , , , , ,,,, ,,, , , , ,,,, ,,, 
ANNUAL SURVEY OF HOURS AND EARNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,365.5,,460.0,,629.2,,881.6,,"1,261.6",,328.1,,392.8,,527.9,,741.0,,989.2,,345.6,,429.0,,585.2,,821.0,,"1,152.8"
2020,,359.0,,453.4,,617.5,,881.6,,"1,269.9",,330.7,,403.5,,543.5,,762.3,,"1,015.5",,345.8,,429.4,,585.7,,828.7,,"1,168.3"
2021,,385.9,,480.0,,651.6,,908.6,,"1,264.2",,353.0,,421.5,,558.1,,773.0,,"1,019.1",,370.3,,454.1,,610.7,,852.4,,"1,169.1"
See note 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,385.5,,479.4,,650.7,,906.8,,"1,262.8",,353.1,,421.6,,558.5,,772.8,,"1,017.6",,370.1,,453.9,,609.8,,851.2,,"1,167.2"
2022,,416.0,,509.0,,683.2,,945.0,,"1,308.5",,380.5,,424.9,,587.7,,807.2,,"1,059.9",,397.9,,480.8,,641.8,,885.3,,"1,208.8"
2023,,451.6,,548.5,,730.2,,"1,006.2",,"1,391.0",,416.5,,487.8,,632.4,,862.4,,"1,149.9",,433.5,,519.1,,687.0,,945.1,,"1,293.6"
2024,,487.2,,584.8,,774.2,,"1,068.8",,"1,492.8",,451.3,,523.9,,672.5,,906.6,,"1,210.0",,468.4,,555.8,,728.3,,994.9,,"1,378.5"
2025,,513.0,,613.3,,814.6,,"1,131.7",,"1,595.5",,477.2,,552.8,,709.8,,958.2,,"1,294.8",,493.7,,583.5,,766.6,,"1,054.1",,"1,473.5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: ,1,2004s1 survey results exclude supplementary surveys for comparisons with 1997 - 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 survey results onwards include supplementary surveys for improved coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006exc does not include the occupational coding tool or changes to the form.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006inc - 2007 does include the occupational coding tool changes and changes to the ASHE form,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011 data is based on SOC 2000 which is comparable with previous years and SOC 2010* which is comparable with more recent years,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LFS data for 2021 and 2022 have been impacted by an issue with the occupation coding using SOC20. Given the use of the 1-digit occupation in the weighting process the ASHE estimates will be subject to further review but the impact is likely to be minimal based on the initial analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/articles/theimpactofmiscodingofoccupationaldatainofficefornationalstatisticssocialsurveysuk/2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
